date_only,tweets,replies,retweets
2016-12-15,1,0,0
2017-09-15,1,0,0
2020-07-17,1,0,0
2022-08-25,1,0,0
2022-12-09,1,0,0
2023-06-14,1,0,0
2023-08-14,1,1,0
2023-10-08,17,13,0
2023-10-09,181,158,0
2023-10-10,289,216,0
2023-10-11,280,196,0
2023-10-12,161,124,0
2023-10-13,172,152,0
2023-10-14,53,43,0
2023-10-15,82,76,0
2023-10-16,73,67,0
2023-10-17,56,52,0
2023-10-18,25,22,0
2023-10-19,26,21,0
2023-10-20,15,13,0
2023-10-21,9,8,0
2023-10-22,8,7,0
2023-10-23,5,5,0
2023-10-24,17,9,0
2023-10-25,37,22,0
2023-10-26,24,16,0
2023-10-27,19,12,0
2023-10-28,7,7,0
2023-10-29,17,16,0
2023-10-30,19,13,0
2023-10-31,24,19,0
2023-11-01,7,6,0
2023-11-02,12,11,0
2023-11-03,12,10,0
2023-11-04,10,5,0
2023-11-05,20,19,0
2023-11-06,10,6,0
2023-11-07,16,9,0
2023-11-08,29,26,0
2023-11-09,32,22,0
2023-11-10,5,4,0
2023-11-11,7,4,0
2023-11-12,3,2,0
2023-11-13,7,5,0
2023-11-14,9,5,0
2023-11-15,4,3,0
2023-11-16,84,62,0
2023-11-17,44,36,0
2023-11-18,26,21,0
2023-11-19,5,5,0
2023-11-20,8,7,0
2023-11-21,18,9,0
2023-11-22,18,6,0
2023-11-23,9,5,0
2023-11-24,1,1,0
2023-11-25,2,2,0
2023-11-26,3,3,0
2023-11-27,1,0,0
2023-11-28,10,3,0
2023-11-29,16,13,0
2023-11-30,6,4,0
2023-12-01,18,9,0
2023-12-02,10,8,0
2023-12-03,10,7,0
2023-12-04,8,5,0
2023-12-05,17,12,0
2023-12-06,12,10,0
2023-12-07,7,5,0
2023-12-08,8,0,0
2023-12-09,21,11,0
2023-12-10,12,9,0
2023-12-11,19,15,0
2023-12-12,30,23,0
2023-12-13,22,14,0
2023-12-14,29,13,0
2023-12-15,25,5,0
2023-12-16,14,12,0
2023-12-17,2,1,0
2023-12-18,4,1,0
2023-12-19,5,4,0
2023-12-22,4,1,0
2023-12-23,8,6,0
2023-12-24,6,4,0
2023-12-25,3,3,0
2023-12-27,2,1,0
2023-12-28,2,2,0
2023-12-29,3,2,0
2023-12-30,5,4,0
2023-12-31,9,7,0
2024-01-01,4,3,0
2024-01-02,2,2,0
2024-01-03,4,1,0
2024-01-04,14,11,0
2024-01-05,13,8,0
2024-01-06,3,3,0
2024-01-07,9,9,0
2024-01-08,9,7,0
2024-01-09,26,17,0
2024-01-10,20,12,0
2024-01-11,18,13,0
2024-01-12,11,10,0
2024-01-13,19,17,0
2024-01-14,202,163,0
2024-01-15,135,104,0
2024-01-16,66,47,0
2024-01-17,35,24,0
2024-01-18,91,65,0
2024-01-19,41,30,0
2024-01-20,51,30,0
2024-01-21,13,13,0
2024-01-22,15,10,0
2024-01-23,24,19,0
2024-01-24,26,18,0
2024-01-25,29,18,0
2024-01-26,27,25,0
2024-01-27,7,7,0
2024-01-28,14,14,0
2024-01-29,20,17,0
2024-01-30,28,25,0
2024-01-31,24,19,0
2024-02-01,6,6,0
2024-02-02,18,13,0
2024-02-03,4,4,0
2024-02-04,8,8,0
2024-02-05,17,14,0
2024-02-06,7,6,0
2024-02-07,10,7,0
2024-02-08,12,8,0
2024-02-09,13,7,0
2024-02-10,5,5,0
2024-02-11,14,14,0
2024-02-12,4,4,0
2024-02-13,16,15,0
2024-02-14,12,10,0
2024-02-15,1,0,0
2024-02-16,12,8,0
2024-02-17,7,3,0
2024-02-18,8,6,0
2024-02-19,11,9,0
2024-02-20,9,8,0
2024-02-21,6,1,0
2024-02-22,14,6,0
2024-02-23,11,10,0
2024-02-24,4,2,0
2024-02-25,19,16,0
2024-02-26,4,4,0
2024-02-27,11,9,0
2024-02-28,16,11,0
2024-02-29,6,4,0
2024-03-01,16,13,0
2024-03-02,3,2,0
2024-03-03,6,5,0
2024-03-04,4,2,0
2024-03-05,5,1,0
2024-03-06,7,2,0
2024-03-07,11,9,0
2024-03-08,11,11,0
2024-03-09,3,2,0
2024-03-10,2,1,0
2024-03-11,4,4,0
2024-03-12,19,17,0
2024-03-13,6,4,0
2024-03-14,7,3,0
2024-03-15,7,4,0
2024-03-16,17,14,0
2024-03-17,5,3,0
2024-03-18,2,1,0
2024-03-19,26,14,0
2024-03-20,13,11,0
2024-03-21,11,6,0
2024-03-22,2,1,0
2024-03-23,2,0,0
2024-03-24,1,0,0
2024-03-25,2,0,0
2024-03-26,8,5,0
2024-03-27,2,2,0
2024-03-28,4,3,0
2024-03-29,2,2,0
2024-03-30,2,2,0
2024-03-31,1,1,0
2024-04-01,3,3,0
2024-04-02,10,10,0
2024-04-03,38,33,0
2024-04-04,37,29,0
2024-04-05,11,10,0
2024-04-06,81,80,0
2024-04-07,62,62,0
2024-04-08,14,14,0
2024-04-09,9,6,0
2024-04-10,4,3,0
2024-04-11,13,11,0
2024-04-12,1,1,0
2024-04-13,7,3,0
2024-04-14,1,1,0
2024-04-15,4,3,0
2024-04-16,7,7,0
2024-04-17,4,4,0
2024-04-18,12,10,0
2024-04-19,6,6,0
2024-04-20,2,1,0
2024-04-21,3,1,0
2024-04-22,7,7,0
2024-04-24,15,9,0
2024-04-25,13,10,0
2024-04-26,16,11,0
2024-04-27,9,9,0
2024-04-28,4,4,0
2024-04-29,11,8,0
2024-04-30,15,6,0
2024-05-01,18,7,0
2024-05-02,13,11,0
2024-05-03,1,1,0
2024-05-04,1,1,0
2024-05-05,1,1,0
2024-05-06,75,44,0
2024-05-07,29,18,0
2024-05-08,5,1,0
2024-05-09,6,2,0
2024-05-10,9,3,0
2024-05-11,5,3,0
2024-05-12,1,1,0
2024-05-13,2,0,0
2024-05-14,3,3,0
2024-05-15,21,16,0
2024-05-16,9,6,0
2024-05-17,13,11,0
2024-05-18,11,10,0
2024-05-19,7,4,0
2024-05-20,14,9,0
2024-05-21,20,10,0
2024-05-22,8,4,0
2024-05-23,5,4,0
2024-05-24,2,0,0
2024-05-25,12,9,0
2024-05-27,2,2,0
2024-05-28,2,2,0
2024-06-01,6,5,0
2024-06-02,5,3,0
2024-06-03,2,2,0
2024-06-04,4,4,0
2024-06-05,3,2,0
2024-06-06,3,2,0
2024-06-07,1,1,0
2024-06-09,1,1,0
2024-06-10,1,0,0
2024-06-11,7,5,0
2024-06-12,3,2,0
2024-06-13,3,2,0
2024-06-14,1,1,0
2024-06-15,3,3,0
2024-06-16,1,0,0
2024-06-17,5,5,0
2024-06-18,13,7,0
2024-06-19,7,4,0
2024-06-20,11,10,0
2024-06-21,10,6,0
2024-06-22,4,2,0
2024-06-23,2,2,0
2024-06-24,7,7,0
2024-06-25,2,0,0
2024-06-26,11,3,0
2024-06-27,6,3,0
2024-06-28,7,4,0
2024-06-29,3,2,0
2024-06-30,2,2,0
2024-07-01,3,0,0
2024-07-02,16,11,0
2024-07-03,7,3,0
2024-07-04,7,7,0
2024-07-06,2,0,0
2024-07-07,7,5,0
2024-07-08,2,1,0
2024-07-09,3,2,0
2024-07-10,3,3,0
2024-07-11,5,2,0
2024-07-12,21,10,0
2024-07-13,11,9,0
2024-07-15,3,0,0
2024-07-16,3,1,0
2024-07-17,3,3,0
2024-07-18,7,4,0
2024-07-19,7,3,0
2024-07-20,6,3,0
2024-07-21,11,7,0
2024-07-22,4,3,0
2024-07-23,9,7,0
2024-07-24,7,3,0
2024-07-25,31,19,0
2024-07-26,11,5,0
2024-07-27,3,1,0
2024-07-28,2,1,0
2024-07-29,4,1,0
2024-07-30,20,9,0
2024-07-31,7,3,0
2024-08-01,16,3,0
2024-08-02,46,33,0
2024-08-03,101,96,0
2024-08-04,15,14,0
2024-08-05,19,12,0
2024-08-06,139,133,0
2024-08-07,59,49,0
2024-08-08,25,12,0
2024-08-09,18,7,0
2024-08-10,5,5,0
2024-08-11,3,2,0
2024-08-12,50,46,0
2024-08-13,8,7,0
2024-08-14,7,2,0
2024-08-15,3,0,0
2024-08-16,10,5,0
2024-08-17,9,9,0
2024-08-18,5,4,0
2024-08-19,3,1,0
2024-08-20,5,2,0
2024-08-21,3,2,0
2024-08-22,13,5,0
2024-08-23,6,4,0
2024-08-24,2,1,0
2024-08-25,4,4,0
2024-08-26,5,4,0
2024-08-28,2,1,0
2024-08-29,2,1,0
2024-08-30,7,5,0
2024-08-31,1,1,0
2024-09-01,4,2,0
2024-09-02,6,4,0
2024-09-03,13,3,0
2024-09-04,12,7,0
2024-09-05,9,4,0
2024-09-06,14,1,0
2024-09-07,21,4,0
2024-09-08,727,635,0
2024-09-09,776,666,0
2024-09-10,1399,1261,0
2024-09-11,1319,1198,0
2024-09-12,707,616,0
