user,mentions_received
barevalodeleon,5168
traficogt,4232
guatemalagob,961
mpguatemala,602
ubaldomacu,572
santipalomov,518
fjimenezmingob,411
drgiammattei,318
mingobguate,309
congresoguate,309
__vadertg,269
pncdeguatemala,250
bancadasemilla,231
diariodeca,226
prensacomunitar,224
karinherreravp,223
usaidguate,211
lahoragt,202
vicentecarrera_,189
_spguatemala,188
olsenpsico,188
agn_noticias,181
elquenews,180
mmendoza_gt,177
radio_tgw,172
amilcarmontejo,167
uclcgt,163
jlfont001,155
samuel_pz,147
dtransitopnc,146
